access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	1148284
all-access	all-agents	Coronavirus_disease_2019	daily	en.wikipedia	2020032600	292272
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020032600	76785
all-access	all-agents	Misinformation_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	26004
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020032600	20480
all-access	all-agents	Transmission_(medicine)	daily	en.wikipedia	2020032600	4232
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020032600	1496
all-access	all-agents	2019–20_coronavirus_pandemic_by_country_and_territory	daily	en.wikipedia	2020032600	298603
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	23011
all-access	all-agents	2020_coronavirus_pandemic_in_Asia	daily	en.wikipedia	2020032600	12921
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020032600	11179
all-access	all-agents	Acute_respiratory_distress_syndrome	daily	en.wikipedia	2020032600	7729
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020032600	7637
all-access	all-agents	World_Health_Organization	daily	en.wikipedia	2020032600	47129
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020032600	51344
all-access	all-agents	2020_Hubei_lockdowns	daily	en.wikipedia	2020032600	16470
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020032600	41800
all-access	all-agents	2020_coronavirus_pandemic_in_Iran	daily	en.wikipedia	2020032600	26916
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020032600	297687
all-access	all-agents	2020_coronavirus_pandemic_in_North_America	daily	en.wikipedia	2020032600	8528
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020032600	3195
all-access	all-agents	2020_coronavirus_pandemic_in_South_America	daily	en.wikipedia	2020032600	4458
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020032600	28623
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_Kingdom	daily	en.wikipedia	2020032600	111856
all-access	all-agents	COVID-19_drug_development	daily	en.wikipedia	2020032600	5909
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020032600	52907
all-access	all-agents	COVID-19_vaccine	daily	en.wikipedia	2020032600	19644
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020032600	40958
all-access	all-agents	Coronavirus	daily	en.wikipedia	2020032600	397959
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020032600	1860
all-access	all-agents	Huanan_Seafood_Wholesale_Market	daily	en.wikipedia	2020032600	23413
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_politics	daily	en.wikipedia	2020032600	1662
all-access	all-agents	National_responses_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	3936
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020032600	36307
all-access	all-agents	2020_coronavirus_pandemic_in_Africa	daily	en.wikipedia	2020032600	17394
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020032600	28887
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020032600	12059
all-access	all-agents	Case_chronology_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020032600	1
all-access	all-agents	List_of_deaths_from_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	9936
all-access	all-agents	List_of_events_affected_by_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	3746
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_February_2020	daily	en.wikipedia	2020032600	9543
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020032600	18731
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_November_2019_–_January_2020	daily	en.wikipedia	2020032600	15929
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020032600	75601
all-access	all-agents	2020_coronavirus_pandemic_in_Denmark	daily	en.wikipedia	2020032600	15541
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020032600	337676
all-access	all-agents	2019–20_coronavirus_pandemic_in_Hubei	daily	en.wikipedia	2020032600	3229
all-access	all-agents	2019–20_coronavirus_pandemic_in_Shanghai	daily	en.wikipedia	2020032600	332
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020032600	86969
all-access	all-agents	2020_coronavirus_pandemic_in_Azerbaijan	daily	en.wikipedia	2020032600	2998
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020032600	27107
all-access	all-agents	2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina	daily	en.wikipedia	2020032600	4817
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020032600	13634
all-access	all-agents	2020_coronavirus_pandemic_in_California	daily	en.wikipedia	2020032600	24400
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020032600	10989
all-access	all-agents	2020_coronavirus_pandemic_in_Egypt	daily	en.wikipedia	2020032600	7633
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020032600	12485
all-access	all-agents	2020_coronavirus_pandemic_in_France	daily	en.wikipedia	2020032600	55204
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020032600	87011
all-access	all-agents	2020_coronavirus_pandemic_in_Greece	daily	en.wikipedia	2020032600	17960
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020032600	8967
all-access	all-agents	2020_coronavirus_pandemic_in_Illinois	daily	en.wikipedia	2020032600	8431
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020032600	22605
all-access	all-agents	2020_coronavirus_pandemic_in_Japan	daily	en.wikipedia	2020032600	20701
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020032600	4453
all-access	all-agents	2020_coronavirus_pandemic_in_Malta	daily	en.wikipedia	2020032600	8668
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020032600	50886
all-access	all-agents	2020_coronavirus_pandemic_in_Norway	daily	en.wikipedia	2020032600	11113
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020032600	49729
all-access	all-agents	2020_coronavirus_pandemic_in_Portugal	daily	en.wikipedia	2020032600	23549
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020032600	33684
all-access	all-agents	2020_coronavirus_pandemic_in_Russia	daily	en.wikipedia	2020032600	32015
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020032600	8645
all-access	all-agents	2020_coronavirus_pandemic_in_Spain	daily	en.wikipedia	2020032600	114732
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020032600	42353
all-access	all-agents	2020_coronavirus_pandemic_in_Switzerland	daily	en.wikipedia	2020032600	29282
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020032600	8219
all-access	all-agents	2020_coronavirus_pandemic_in_Turkey	daily	en.wikipedia	2020032600	99213
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020032600	2713
all-access	all-agents	2020_coronavirus_pandemic_in_Washington_(state)	daily	en.wikipedia	2020032600	24179
all-access	all-agents	2020_coronavirus_pandemic_in_the_Czech_Republic	daily	en.wikipedia	2020032600	28588
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020032600	42641
all-access	all-agents	2020_coronavirus_pandemic_in_the_Philippines	daily	en.wikipedia	2020032600	73748
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020032600	27559
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020032600	13921
all-access	all-agents	Concerns_and_controversies_at_the_2020_Summer_Olympics	daily	en.wikipedia	2020032600	371
all-access	all-agents	Coronavirus_party	daily	en.wikipedia	2020032600	140
all-access	all-agents	Criticism_of_response_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	2196
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020032600	6477
all-access	all-agents	Families_First_Coronavirus_Response_Act	daily	en.wikipedia	2020032600	3573
all-access	all-agents	Financial_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	951
all-access	all-agents	Hydroxychloroquine	daily	en.wikipedia	2020032600	48053
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_prisons	daily	en.wikipedia	2020032600	818
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_television	daily	en.wikipedia	2020032600	3708
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_the_2020_Summer_Olympics	daily	en.wikipedia	2020032600	1630
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_the_video_game_industry	daily	en.wikipedia	2020032600	1180
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020032600	30339
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020032600	783
all-access	all-agents	Severe_acute_respiratory_syndrome	daily	en.wikipedia	2020032600	50334
all-access	all-agents	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	12044
all-access	all-agents	U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic	daily	en.wikipedia	2020032600	12958
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020032600	30164
all-access	all-agents	2019–20_coronavirus_pandemic_in_Henan	daily	en.wikipedia	2020032600	193
all-access	all-agents	2019–20_coronavirus_pandemic_in_Sichuan	daily	en.wikipedia	2020032600	168
all-access	all-agents	2020_India_coronavirus_lockdown	daily	en.wikipedia	2020032600	9829
all-access	all-agents	2020_coronavirus_pandemic_in_Albania	daily	en.wikipedia	2020032600	4376
all-access	all-agents	2020_coronavirus_pandemic_in_Andorra	daily	en.wikipedia	2020032600	1467
all-access	all-agents	2020_coronavirus_pandemic_in_Austria	daily	en.wikipedia	2020032600	20664
all-access	all-agents	2020_coronavirus_pandemic_in_Belarus	daily	en.wikipedia	2020032600	4509
all-access	all-agents	2020_coronavirus_pandemic_in_Estonia	daily	en.wikipedia	2020032600	5329
all-access	all-agents	2020_coronavirus_pandemic_in_Iceland	daily	en.wikipedia	2020032600	11564
all-access	all-agents	2020_coronavirus_pandemic_in_Kazakhstan	daily	en.wikipedia	2020032600	2745
all-access	all-agents	2020_coronavirus_pandemic_in_Kosovo	daily	en.wikipedia	2020032600	6837
all-access	all-agents	2020_coronavirus_pandemic_in_Liechtenstein	daily	en.wikipedia	2020032600	1439
all-access	all-agents	2020_coronavirus_pandemic_in_Lithuania	daily	en.wikipedia	2020032600	10180
all-access	all-agents	2020_coronavirus_pandemic_in_Luxembourg	daily	en.wikipedia	2020032600	5606
all-access	all-agents	2020_coronavirus_pandemic_in_Manitoba	daily	en.wikipedia	2020032600	432
all-access	all-agents	2020_coronavirus_pandemic_in_Moldova	daily	en.wikipedia	2020032600	2967
all-access	all-agents	2020_coronavirus_pandemic_in_Monaco	daily	en.wikipedia	2020032600	1300
all-access	all-agents	2020_coronavirus_pandemic_in_North_Korea	daily	en.wikipedia	2020032600	22575
all-access	all-agents	2020_coronavirus_pandemic_in_North_Macedonia	daily	en.wikipedia	2020032600	4507
all-access	all-agents	2020_coronavirus_pandemic_in_North_Rhine-Westphalia	daily	en.wikipedia	2020032600	714
all-access	all-agents	2020_coronavirus_pandemic_in_San_Marino	daily	en.wikipedia	2020032600	4290
all-access	all-agents	2020_coronavirus_pandemic_in_Slovenia	daily	en.wikipedia	2020032600	5986
all-access	all-agents	2020_coronavirus_pandemic_in_Togo	daily	en.wikipedia	2020032600	1329
all-access	all-agents	2020_coronavirus_pandemic_in_Uganda	daily	en.wikipedia	2020032600	716
all-access	all-agents	2020_coronavirus_pandemic_in_Ukraine	daily	en.wikipedia	2020032600	11876
all-access	all-agents	2020_coronavirus_pandemic_in_Vatican_City	daily	en.wikipedia	2020032600	2727
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020032600	5996
all-access	all-agents	Coronaviridae	daily	en.wikipedia	2020032600	12035
all-access	all-agents	Coronavirus_Aid,_Relief,_and_Economic_Security_Act	daily	en.wikipedia	2020032600	8346
all-access	all-agents	Coronavirus_recession	daily	en.wikipedia	2020032600	923
all-access	all-agents	Darvinson_Rojas	daily	en.wikipedia	2020032600	8
all-access	all-agents	Diamond_Princess_(ship)	daily	en.wikipedia	2020032600	18047
all-access	all-agents	Media_coverage_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	85
all-access	all-agents	Zhong_Nanshan	daily	en.wikipedia	2020032600	67489
all-access	all-agents	2020_coronavirus_pandemic_in_Belize	daily	en.wikipedia	2020032600	725
all-access	all-agents	2020_coronavirus_pandemic_in_French_Polynesia	daily	en.wikipedia	2020032600	714
all-access	all-agents	2020_coronavirus_pandemic_in_Mozambique	daily	en.wikipedia	2020032600	540
all-access	all-agents	2020_coronavirus_pandemic_in_Transnistria	daily	en.wikipedia	2020032600	548
all-access	all-agents	2020_coronavirus_pandemic_in_Zambia	daily	en.wikipedia	2020032600	517
all-access	all-agents	Chen_Wei_(medical_scientist)	daily	en.wikipedia	2020032600	297
all-access	all-agents	Disease_cluster	daily	en.wikipedia	2020032600	488
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020032600	3521
all-access	all-agents	River_of_Grace_Community_Church	daily	en.wikipedia	2020032600	69
all-access	all-agents	COVID-19_related_curfews_and_lockdowns	daily	en.wikipedia	2020032600	6191
all-access	all-agents	Evacuations_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	752
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_science_and_technology	daily	en.wikipedia	2020032600	402
all-access	all-agents	List_of_SARS_outbreaks	daily	en.wikipedia	2020032600	1034
all-access	all-agents	List_of_incidents_of_xenophobia_and_racism_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032600	8800
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020032600	4814
all-access	all-agents	2020_Italy_coronavirus_lockdown	daily	en.wikipedia	2020032600	34176
all-access	all-agents	2020_Malaysia_movement_control_order	daily	en.wikipedia	2020032600	8444
all-access	all-agents	2020_Russia–Saudi_Arabia_oil_price_war	daily	en.wikipedia	2020032600	5071
all-access	all-agents	2020_coronavirus_pandemic_in_Guernsey	daily	en.wikipedia	2020032600	1376
all-access	all-agents	2020_coronavirus_pandemic_in_India	daily	en.wikipedia	2020032600	513901
all-access	all-agents	2020_coronavirus_pandemic_on_cruise_ships	daily	en.wikipedia	2020032600	9897
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020032600	103205
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020032600	89902
all-access	all-agents	Coalition_for_Epidemic_Preparedness_Innovations	daily	en.wikipedia	2020032600	1270
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020032600	7669
all-access	all-agents	Ken_Cuccinelli	daily	en.wikipedia	2020032600	511
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020032600	3616
all-access	all-agents	Mike_Pence	daily	en.wikipedia	2020032600	21067
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020032600	5613
all-access	all-agents	Robert_C._O'Brien_(attorney)	daily	en.wikipedia	2020032600	451
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020032600	16988
all-access	all-agents	Timeline_of_the_2020_coronavirus_pandemic_in_India	daily	en.wikipedia	2020032600	21701
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020032600	25276
all-access	all-agents	2020_Luzon_enhanced_community_quarantine	daily	en.wikipedia	2020032600	25708
all-access	all-agents	2020_coronavirus_pandemic_in_Afghanistan	daily	en.wikipedia	2020032600	4723
all-access	all-agents	2020_coronavirus_pandemic_in_Alberta	daily	en.wikipedia	2020032600	3772
all-access	all-agents	2020_coronavirus_pandemic_in_Argentina	daily	en.wikipedia	2020032600	10555
all-access	all-agents	2020_coronavirus_pandemic_in_Arkansas	daily	en.wikipedia	2020032600	4215
all-access	all-agents	2020_coronavirus_pandemic_in_Balkans	daily	en.wikipedia	2020032600	113
all-access	all-agents	2020_coronavirus_pandemic_in_Brazil	daily	en.wikipedia	2020032600	24449
all-access	all-agents	2020_coronavirus_pandemic_in_Cambodia	daily	en.wikipedia	2020032600	3095
all-access	all-agents	2020_coronavirus_pandemic_in_Chile	daily	en.wikipedia	2020032600	5834
all-access	all-agents	2020_coronavirus_pandemic_in_Colorado	daily	en.wikipedia	2020032600	3925
all-access	all-agents	2020_coronavirus_pandemic_in_Costa_Rica	daily	en.wikipedia	2020032600	3554
all-access	all-agents	2020_coronavirus_pandemic_in_Florida	daily	en.wikipedia	2020032600	5044
all-access	all-agents	2020_coronavirus_pandemic_in_Georgia_(U.S._state)	daily	en.wikipedia	2020032600	6012
all-access	all-agents	2020_coronavirus_pandemic_in_Hong_Kong	daily	en.wikipedia	2020032600	6073
all-access	all-agents	2020_coronavirus_pandemic_in_Indonesia	daily	en.wikipedia	2020032600	18271
all-access	all-agents	2020_coronavirus_pandemic_in_Iraq	daily	en.wikipedia	2020032600	3395
all-access	all-agents	2020_coronavirus_pandemic_in_Karnataka	daily	en.wikipedia	2020032600	49937
all-access	all-agents	2020_coronavirus_pandemic_in_Kerala	daily	en.wikipedia	2020032600	19340
