entityid,label,langcode,is_alt
http://www.wikidata.org/entity/Q639669,સંગીતકાર,gu,False
http://www.wikidata.org/entity/Q639669,संगीतकार,hi,False
http://www.wikidata.org/entity/Q639669,संगीतकार,mr,False
http://www.wikidata.org/entity/Q639669,musician,en-ca,False
http://www.wikidata.org/entity/Q639669,musician,en-gb,False
http://www.wikidata.org/entity/Q639669,muzician,ro,False
http://www.wikidata.org/entity/Q639669,музикант,uk,False
http://www.wikidata.org/entity/Q639669,সঙ্গীতজ্ঞ,bn,False
http://www.wikidata.org/entity/Q639669,musikant,af,False
http://www.wikidata.org/entity/Q639669,Musico,an,False
http://www.wikidata.org/entity/Q639669,موسيقي,ar,False
http://www.wikidata.org/entity/Q639669,musiqiçi,az,False
http://www.wikidata.org/entity/Q639669,музыка,be-tarask,False
http://www.wikidata.org/entity/Q639669,Музикант,bg,False
http://www.wikidata.org/entity/Q639669,muziker,br,False
http://www.wikidata.org/entity/Q639669,Muzičar,bs,False
http://www.wikidata.org/entity/Q639669,хүгжэмшэ,bxr,False
http://www.wikidata.org/entity/Q639669,مۆسیقاژەن,ckb,False
http://www.wikidata.org/entity/Q639669,çalğıcı,crh-latn,False
http://www.wikidata.org/entity/Q639669,Muzisyen,diq,False
http://www.wikidata.org/entity/Q639669,μουσικός,el,False
http://www.wikidata.org/entity/Q639669,musikari,eu,False
http://www.wikidata.org/entity/Q639669,موسیقیدان,fa,False
http://www.wikidata.org/entity/Q639669,tónleikari,fo,False
http://www.wikidata.org/entity/Q639669,neach-ciùil,gd,False
http://www.wikidata.org/entity/Q639669,Musiker,gsw,False
http://www.wikidata.org/entity/Q639669,glazbenik,hr,False
http://www.wikidata.org/entity/Q639669,hudźbnik,hsb,False
http://www.wikidata.org/entity/Q639669,երաժիշտ,hy,False
http://www.wikidata.org/entity/Q639669,musico,ia,False
http://www.wikidata.org/entity/Q639669,Musikus,id,False
http://www.wikidata.org/entity/Q639669,umiiweng,ilo,False
http://www.wikidata.org/entity/Q639669,muzikisto,io,False
http://www.wikidata.org/entity/Q639669,Tónlistarmaður,is,False
http://www.wikidata.org/entity/Q639669,Musisi,jv,False
http://www.wikidata.org/entity/Q639669,მუსიკოსი,ka,False
http://www.wikidata.org/entity/Q639669,Музыкант,kk,False
http://www.wikidata.org/entity/Q639669,ಸಂಗೀತಗಾರ,kn,False
http://www.wikidata.org/entity/Q639669,음악가,ko,False
