itemid,label,langcode,is_alt
http://www.wikidata.org/entity/Q639669,músico,es,False
http://www.wikidata.org/entity/Q639669,музыкант,ru,False
http://www.wikidata.org/entity/Q639669,מוזיקאי,he,False
http://www.wikidata.org/entity/Q639669,muzikant,nl,False
http://www.wikidata.org/entity/Q639669,musician,en,False
http://www.wikidata.org/entity/Q639669,ceoltóir,ga,False
http://www.wikidata.org/entity/Q639669,музикант,uk,False
http://www.wikidata.org/entity/Q639669,Musiker,de,False
http://www.wikidata.org/entity/Q639669,hudobník,sk,False
http://www.wikidata.org/entity/Q639669,音樂家,zh-tw,False
http://www.wikidata.org/entity/Q639669,müzisyen,tr,False
http://www.wikidata.org/entity/Q639669,zenész,hu,False
http://www.wikidata.org/entity/Q639669,hudebník,cs,False
http://www.wikidata.org/entity/Q639669,musiker,da,False
http://www.wikidata.org/entity/Q639669,muusikko,fi,False
http://www.wikidata.org/entity/Q639669,musicien,fr,False
http://www.wikidata.org/entity/Q639669,muzyk,pl,False
http://www.wikidata.org/entity/Q639669,музичар,sr,False
http://www.wikidata.org/entity/Q639669,संगीतकार,hi,False
http://www.wikidata.org/entity/Q639669,cerddor,cy,False
http://www.wikidata.org/entity/Q639669,músicu,ast,False
http://www.wikidata.org/entity/Q10406,Noorderkroon,nl,False
http://www.wikidata.org/entity/Q10406,Corona Borealis,en,False
http://www.wikidata.org/entity/Q10406,Corona Boreale,it,False
http://www.wikidata.org/entity/Q10406,Corona Borealis,ast,False
http://www.wikidata.org/entity/Q10406,Corona Borealis,es,False
http://www.wikidata.org/entity/Q10406,Noordelike Kroon,af,False
http://www.wikidata.org/entity/Q10406,الإكليل الشمالي,ar,False
http://www.wikidata.org/entity/Q10406,Şimal Tacı,az,False
http://www.wikidata.org/entity/Q10406,Төньяҡ таж,ba,False
http://www.wikidata.org/entity/Q10406,Сузор'е Паўночная Карона,be,False
http://www.wikidata.org/entity/Q10406,Паўночная Карона,be-tarask,False
http://www.wikidata.org/entity/Q10406,Северна корона,bg,False
http://www.wikidata.org/entity/Q10406,উত্তর কীরিট মণ্ডল,bn,False
http://www.wikidata.org/entity/Q10406,ཅོད་པན་སྐར་ཚོམ་བྱང་མ་,bo,False
http://www.wikidata.org/entity/Q10406,Kurunenn an Norzh,br,False
http://www.wikidata.org/entity/Q10406,Sjeverna kruna,bs,False
http://www.wikidata.org/entity/Q10406,Corona Boreal,ca,False
http://www.wikidata.org/entity/Q10406,Báe̤k-miēng-cô̤,cdo,False
http://www.wikidata.org/entity/Q10406,Corona Borealis,co,False
http://www.wikidata.org/entity/Q10406,Severní koruna,cs,False
http://www.wikidata.org/entity/Q10406,Corona Borealis,cy,False
http://www.wikidata.org/entity/Q10406,Nordlige Krone,da,False
http://www.wikidata.org/entity/Q10406,Nördliche Krone,de,False
http://www.wikidata.org/entity/Q10406,Στέφανος Βόρειος,el,False
http://www.wikidata.org/entity/Q10406,Norda Krono,eo,False
http://www.wikidata.org/entity/Q10406,Põhjakroon,et,False
http://www.wikidata.org/entity/Q10406,Corona Borealis,eu,False
http://www.wikidata.org/entity/Q10406,تاج شمالی,fa,False
http://www.wikidata.org/entity/Q10406,Pohjan kruunu,fi,False
http://www.wikidata.org/entity/Q10406,Couronne boréale,fr,False
http://www.wikidata.org/entity/Q10406,Coróin an Tuaiscirt,ga,False
http://www.wikidata.org/entity/Q10406,Corona Borealis,gl,False
http://www.wikidata.org/entity/Q10406,Pet-miên-chho,hak,False
http://www.wikidata.org/entity/Q10406,כתר צפוני,he,False
http://www.wikidata.org/entity/Q10406,उत्तरकिरीट तारामंडल,hi,False
http://www.wikidata.org/entity/Q10406,Sjeverna kruna,hr,False
http://www.wikidata.org/entity/Q10406,Északi Korona csillagkép,hu,False
http://www.wikidata.org/entity/Q10406,Հյուսիսային թագ,hy,False
