date,term,top
2020-03-27,COVID-19,0
2020-03-27,Boris Johnson,1
2020-03-27,Thomas Massie,2
2020-03-27,Ozark,3
2020-03-27,Drew Brees,4
2020-03-27,Bill Gates,5
2020-03-27,Kourtney Kardashian,6
2020-03-27,Doris Burke,7
2020-03-27,Pope Francis,8
2020-03-27,Krispy Kreme,9
2020-03-27,Roman Reigns,10
2020-03-27,A Million Little Things,11
2020-03-27,Pearl Jam Gigaton,12
2020-03-27,Gretchen Whitmer,13
2020-03-27,Bill Ackman,14
2020-03-27,Till Lindemann,15
2020-03-27,Trish Regan,16
2020-03-27,Steven Universe Future,17
2020-03-27,Urbi et Orbi,18
2020-03-27,Nc stay-at-home order,19
2020-03-28,Dog,0
2020-03-28,Tom Coburn,1
2020-03-28,Cat,2
2020-03-28,Weather radar,3
2020-03-28,Horse,4
2020-03-28,Elephant,5
2020-03-28,Bear,6
2020-03-28,Penguin,7
2020-03-28,Joseph Lowery,8
2020-03-28,North Carolina,9
2020-03-28,Wolf,10
2020-03-28,Predator: Hunting Grounds,11
2020-03-28,Duck,12
2020-03-28,Vivarium,13
2020-03-28,Instacart strike,14
2020-03-29,Joe Diffie,0
2020-03-29,John Prine,1
2020-03-29,Elton John,2
2020-03-29,Tiger,3
2020-03-29,Garth Brooks,4
2020-03-29,Social distancing,5
2020-03-29,Shawn Mendes,6
2020-03-29,Sarah Jessica Parker,7
2020-03-29,Shia LaBeouf,8
2020-03-29,Maria Mercader,9
2020-03-29,Liberty University,10
2020-03-29,Jeanine Pirro,11
2020-03-29,WrestleMania 32,12
2020-03-29,Jan Howard,13
2020-03-29,Nier Replicant,14
2020-03-29,Suicide Squad,15
2020-03-29,Cards Against Humanity online,16
2020-03-29,Matthew Faber,17
2020-03-29,Dave Grohl,18
2020-03-29,Daisy Keech,19
date,term,top
2020-03-29,Joe Diffie,0
2020-03-29,John Prine,1
2020-03-29,Elton John,2
2020-03-29,Tiger,3
2020-03-29,Garth Brooks,4
2020-03-29,Social distancing,5
2020-03-29,Shawn Mendes,6
2020-03-29,Sarah Jessica Parker,7
2020-03-29,Shia LaBeouf,8
2020-03-29,Maria Mercader,9
2020-03-29,Liberty University,10
2020-03-29,Jeanine Pirro,11
2020-03-29,WrestleMania 32,12
2020-03-29,Jan Howard,13
2020-03-29,Nier Replicant,14
2020-03-29,Suicide Squad,15
2020-03-29,Cards Against Humanity online,16
2020-03-29,Matthew Faber,17
2020-03-29,Dave Grohl,18
2020-03-29,Daisy Keech,19
date,term,top
2020-03-31,Sophie Brussaux,0
2020-03-31,Virginia stay-at-home order,1
2020-03-31,Furlough,2
2020-03-31,SBA disaster loans,3
2020-03-31,Schoology,4
2020-03-31,MyPillow,5
2020-03-31,John Krasinski,6
2020-03-31,Modern Warfare 2 Remastered,7
2020-03-31,Michigan unemployment,8
2020-03-31,Tomie dePaola,9
2020-03-31,The Good Doctor,10
2020-03-31,Arizona news,11
2020-03-31,Instacart strike,12
2020-03-31,USNS Comfort,13
2020-03-31,Crocs,14
2020-03-31,"Texas, unemployment",15
2020-03-31,Unemployment NY,16
2020-03-31,Arizona stay-at-home order,17
2020-03-31,N.C unemployment,18
2020-03-31,Unemployment benefits,19
date,term,top
2020-03-31,Chris Cuomo,0
2020-03-31,Andrew Jack,1
2020-03-31,David Geffen,2
2020-03-31,April fools' pranks,3
2020-03-31,Taco Bell free taco,4
2020-03-31,Face mask for sale,5
2020-03-31,Seoul,6
2020-03-31,Myron Rolle,7
2020-03-31,DaBaby,8
2020-03-31,Carole Baskin's husband,9
2020-03-31,Everlane,10
2020-03-31,Governor Abbott,11
