search_term,entityid,pageid,search_position,timestamp
coronavirus tips,Q41965287,43268911,0,2020-03-27T23:44:57Z
coronavirus tips,Q37723794,39096265,1,2020-03-27T23:44:57Z
covid 19,Q84263196,83565290,0,2020-03-27T23:44:57Z
covid 19,Q87719492,86957636,1,2020-03-27T23:44:57Z
covid 19,Q86901049,86144377,2,2020-03-27T23:44:57Z
covid 19,Q83873577,83181964,3,2020-03-27T23:44:57Z
covid 19,Q87985395,87215078,4,2020-03-27T23:44:57Z
covid 19,Q87748614,86985843,5,2020-03-27T23:44:57Z
covid 19,Q84166704,83469925,6,2020-03-27T23:44:57Z
covid 19,Q84104992,83408431,7,2020-03-27T23:44:57Z
covid 19,Q83872291,83180713,8,2020-03-27T23:44:57Z
covid 19,Q83873593,83181978,9,2020-03-27T23:44:57Z
covid 19,Q83889294,83197238,10,2020-03-27T23:44:57Z
covid 19,Q86597695,85844993,11,2020-03-27T23:44:57Z
covid 19,Q87250713,86486309,12,2020-03-27T23:44:57Z
covid 19,Q84098939,83402394,13,2020-03-27T23:44:57Z
covid 19,Q87873835,87106001,14,2020-03-27T23:44:57Z
covid 19,Q88249550,87492065,15,2020-03-27T23:44:57Z
covid 19,Q84081576,83385069,16,2020-03-27T23:44:57Z
covid 19,Q88327499,87565880,17,2020-03-27T23:44:57Z
covid 19,Q88058672,87303711,18,2020-03-27T23:44:57Z
covid 19,Q88202504,87446032,19,2020-03-27T23:44:57Z
covid 19,Q84446340,83746580,20,2020-03-27T23:44:57Z
covid 19,Q88253588,87496080,21,2020-03-27T23:44:57Z
covid 19,Q84055415,83360242,22,2020-03-27T23:44:57Z
covid 19,Q86675924,85921646,23,2020-03-27T23:44:57Z
covid 19,Q88327497,87565878,24,2020-03-27T23:44:57Z
covid 19,Q88459495,87693849,25,2020-03-27T23:44:57Z
covid 19,Q86948603,86190939,26,2020-03-27T23:44:57Z
covid 19,Q88683166,87913894,27,2020-03-27T23:44:57Z
covid 19,Q88253681,87496172,28,2020-03-27T23:44:57Z
covid 19,Q88543747,87776363,29,2020-03-27T23:44:57Z
covid 19,Q88249059,87491608,30,2020-03-27T23:44:57Z
covid 19,Q87775016,87011366,31,2020-03-27T23:44:57Z
covid 19,Q87829288,87062324,32,2020-03-27T23:44:57Z
covid 19,Q88009545,87238536,33,2020-03-27T23:44:57Z
covid 19,Q87577656,86819583,34,2020-03-27T23:44:57Z
covid 19,Q88464487,87698751,35,2020-03-27T23:44:57Z
covid 19,Q88432967,87668892,36,2020-03-27T23:44:57Z
covid 19,Q88542177,87774801,37,2020-03-27T23:44:57Z
covid 19,Q88434679,87670602,38,2020-03-27T23:44:57Z
