entityid,label,langcode,is_alt
http://www.wikidata.org/entity/Q38,Italië,nl,False
http://www.wikidata.org/entity/Q38,සිංහල,si,False
http://www.wikidata.org/entity/Q38,Италия,bg,False
http://www.wikidata.org/entity/Q38,Italy,en,False
http://www.wikidata.org/entity/Q38,Италия,ru,False
http://www.wikidata.org/entity/Q38,義大利,zh-hant,False
http://www.wikidata.org/entity/Q38,Italia,es,False
http://www.wikidata.org/entity/Q38,Italien,de,False
http://www.wikidata.org/entity/Q38,איטליה,he,False
http://www.wikidata.org/entity/Q38,Italia,it,False
http://www.wikidata.org/entity/Q38,Italie,fr,False
http://www.wikidata.org/entity/Q38,Италија,sr,False
http://www.wikidata.org/entity/Q38,Italia,ro,False
http://www.wikidata.org/entity/Q38,Италиа,ab,False
http://www.wikidata.org/entity/Q38,Itali,ace,False
http://www.wikidata.org/entity/Q38,Италие,ady,False
http://www.wikidata.org/entity/Q38,إيطاليا,aeb-arab,False
http://www.wikidata.org/entity/Q38,Italië,af,False
http://www.wikidata.org/entity/Q38,Italy,ak,False
http://www.wikidata.org/entity/Q38,ጣልያን,am,False
http://www.wikidata.org/entity/Q38,Italia,an,False
http://www.wikidata.org/entity/Q38,Italia,ang,False
http://www.wikidata.org/entity/Q38,إيطاليا,ar,False
http://www.wikidata.org/entity/Q38,ܐܝܛܠܝܐ,arc,False
http://www.wikidata.org/entity/Q38,ايطاليا,arz,False
http://www.wikidata.org/entity/Q38,ইটালী,as,False
http://www.wikidata.org/entity/Q38,Italia,ast,False
http://www.wikidata.org/entity/Q38,Италия,av,False
http://www.wikidata.org/entity/Q38,Italiya,ay,False
http://www.wikidata.org/entity/Q38,İtaliya,az,False
http://www.wikidata.org/entity/Q38,ایتالیا,azb,False
http://www.wikidata.org/entity/Q38,Италия,ba,False
http://www.wikidata.org/entity/Q38,Italien,bar,False
http://www.wikidata.org/entity/Q38,Italya,bcl,False
http://www.wikidata.org/entity/Q38,Італія,be,False
http://www.wikidata.org/entity/Q38,Італія,be-tarask,False
http://www.wikidata.org/entity/Q38,ایتالیا,bgn,False
http://www.wikidata.org/entity/Q38,इटली,bho,False
http://www.wikidata.org/entity/Q38,Italy,bi,False
http://www.wikidata.org/entity/Q38,ইতালি,bn,False
http://www.wikidata.org/entity/Q38,ཨི་ཏ་ལི།,bo,False
http://www.wikidata.org/entity/Q38,ইতালি,bpy,False
http://www.wikidata.org/entity/Q38,Italia,br,False
http://www.wikidata.org/entity/Q38,Italija,bs,False
http://www.wikidata.org/entity/Q38,Italia,bug,False
http://www.wikidata.org/entity/Q38,Итаали,bxr,False
http://www.wikidata.org/entity/Q38,Itàlia,ca,False
http://www.wikidata.org/entity/Q38,Italia,cbk-zam,False
http://www.wikidata.org/entity/Q38,É-dâi-lé,cdo,False
http://www.wikidata.org/entity/Q38,Итали,ce,False
http://www.wikidata.org/entity/Q38,Italya,ceb,False
http://www.wikidata.org/entity/Q38,Italia,ch,False
http://www.wikidata.org/entity/Q38,ᎢᏔᎵᏱ,chr,False
http://www.wikidata.org/entity/Q38,Italy,chy,False
http://www.wikidata.org/entity/Q38,ئیتالیا,ckb,False
http://www.wikidata.org/entity/Q38,Italia,co,False
http://www.wikidata.org/entity/Q38,ᐃᑕᓖ,cr,False
http://www.wikidata.org/entity/Q38,İtaliya,crh,False
http://www.wikidata.org/entity/Q38,İtaliya,crh-latn,False
http://www.wikidata.org/entity/Q38,Itálie,cs,False
http://www.wikidata.org/entity/Q38,Italskô,csb,False
http://www.wikidata.org/entity/Q38,Италїꙗ,cu,False
http://www.wikidata.org/entity/Q38,Итали,cv,False
http://www.wikidata.org/entity/Q38,Yr Eidal,cy,False
http://www.wikidata.org/entity/Q38,Italien,da,False
http://www.wikidata.org/entity/Q38,Italien,de-at,False
http://www.wikidata.org/entity/Q38,Italien,de-ch,False
http://www.wikidata.org/entity/Q38,İtalya,diq,False
http://www.wikidata.org/entity/Q38,Italska,dsb,False
http://www.wikidata.org/entity/Q38,इटाली,dty,False
http://www.wikidata.org/entity/Q38,އިޓަލީވިލާތް,dv,False
http://www.wikidata.org/entity/Q38,ཨྀཊ་ལི་,dz,False
http://www.wikidata.org/entity/Q38,Italy,ee,False
http://www.wikidata.org/entity/Q38,Ιταλία,el,False
http://www.wikidata.org/entity/Q38,Itâglia,eml,False
http://www.wikidata.org/entity/Q38,Italy,en-ca,False
http://www.wikidata.org/entity/Q38,Italy,en-gb,False
http://www.wikidata.org/entity/Q38,Italio,eo,False
http://www.wikidata.org/entity/Q38,Itaalia,et,False
http://www.wikidata.org/entity/Q38,Italia,eu,False
http://www.wikidata.org/entity/Q38,Itália,ext,False
http://www.wikidata.org/entity/Q38,ایتالیا,fa,False
http://www.wikidata.org/entity/Q38,Italiya,ff,False
http://www.wikidata.org/entity/Q38,Italia,fi,False
http://www.wikidata.org/entity/Q38,Italia,fj,False
http://www.wikidata.org/entity/Q38,Italia,fo,False
http://www.wikidata.org/entity/Q38,Étalia,frp,False
http://www.wikidata.org/entity/Q38,Itaalien,frr,False
http://www.wikidata.org/entity/Q38,Italie,fur,False
http://www.wikidata.org/entity/Q38,Itaalje,fy,False
http://www.wikidata.org/entity/Q38,An Iodáil,ga,False
http://www.wikidata.org/entity/Q38,İtaliya,gag,False
http://www.wikidata.org/entity/Q38,意大利,gan,False
http://www.wikidata.org/entity/Q38,An Eadailt,gd,False
http://www.wikidata.org/entity/Q38,Italia,gl,False
http://www.wikidata.org/entity/Q38,Itália,gn,False
http://www.wikidata.org/entity/Q38,इटली,gom,False
http://www.wikidata.org/entity/Q38,इटली,gom-deva,False
http://www.wikidata.org/entity/Q38,Italy,gom-latn,False
http://www.wikidata.org/entity/Q38,𐌹𐍄𐌰𐌻𐌹𐌰,got,False
http://www.wikidata.org/entity/Q38,ਇਟਲੀ,pa,False
http://www.wikidata.org/entity/Q38,Italia,pag,False
http://www.wikidata.org/entity/Q38,Italia,pam,False
http://www.wikidata.org/entity/Q38,Italia,pap,False
http://www.wikidata.org/entity/Q38,Italie,pcd,False
http://www.wikidata.org/entity/Q38,Idali,pdc,False
http://www.wikidata.org/entity/Q38,Idalje,pfl,False
http://www.wikidata.org/entity/Q38,इटली,pi,False
http://www.wikidata.org/entity/Q38,Italii,pih,False
http://www.wikidata.org/entity/Q38,Włochy,pl,False
http://www.wikidata.org/entity/Q38,Italia,pms,False
http://www.wikidata.org/entity/Q38,اٹلی,pnb,False
http://www.wikidata.org/entity/Q38,Ιταλία,pnt,False
http://www.wikidata.org/entity/Q38,اېټاليا,ps,False
http://www.wikidata.org/entity/Q38,Itália,pt,False
http://www.wikidata.org/entity/Q38,Itália,pt-br,False
http://www.wikidata.org/entity/Q38,Italya,qu,False
http://www.wikidata.org/entity/Q38,Italia,rm,False
http://www.wikidata.org/entity/Q38,Italiya,rmy,False
http://www.wikidata.org/entity/Q38,Italya,rn,False
http://www.wikidata.org/entity/Q38,Itaglie,roa-tara,False
http://www.wikidata.org/entity/Q38,Італія,rue,False
