query,value,term,date
coronavirus update,100,coronavirus,2020-03-27
corona,94,coronavirus,2020-03-27
coronavirus symptoms,82,coronavirus,2020-03-27
news coronavirus,74,coronavirus,2020-03-27
coronavirus cases,69,coronavirus,2020-03-27
uk coronavirus,53,coronavirus,2020-03-27
corona virus,49,coronavirus,2020-03-27
el coronavirus,43,coronavirus,2020-03-27
coronavirus china,41,coronavirus,2020-03-27
coronavirus italia,41,coronavirus,2020-03-27
coronavirus map,40,coronavirus,2020-03-27
india coronavirus,38,coronavirus,2020-03-27
coronavirus france,36,coronavirus,2020-03-27
coronavirus sintomas,31,coronavirus,2020-03-27
coronavirus italy,29,coronavirus,2020-03-27
italy,29,coronavirus,2020-03-27
us coronavirus,28,coronavirus,2020-03-27
usa coronavirus,28,coronavirus,2020-03-27
coronavirus españa,27,coronavirus,2020-03-27
symptoms of coronavirus,26,coronavirus,2020-03-27
coronavirus live,25,coronavirus,2020-03-27
coronavirus tips,21,coronavirus,2020-03-27
what is coronavirus,21,coronavirus,2020-03-27
coronavirus in india,20,coronavirus,2020-03-27
coronavirus latest,19,coronavirus,2020-03-27
covid-19 coronavirus,100,covid-19,2020-03-27
coronavirus,97,covid-19,2020-03-27
covid,56,covid-19,2020-03-27
covid-19 cases,50,covid-19,2020-03-27
covid 19,39,covid-19,2020-03-27
corona,33,covid-19,2020-03-27
virus covid-19,33,covid-19,2020-03-27
covid-19 map,22,covid-19,2020-03-27
covid-19 symptoms,22,covid-19,2020-03-27
covid-19 news,20,covid-19,2020-03-27
covid-19 updates,20,covid-19,2020-03-27
covid-19 update,18,covid-19,2020-03-27
covid-19 live,17,covid-19,2020-03-27
corona virus,17,covid-19,2020-03-27
covid-19 us,15,covid-19,2020-03-27
who,14,covid-19,2020-03-27
covid-19 who,14,covid-19,2020-03-27
covid-19 canada,14,covid-19,2020-03-27
what is covid-19,14,covid-19,2020-03-27
covid-19 cdc,12,covid-19,2020-03-27
cdc,11,covid-19,2020-03-27
covid-19 test,11,covid-19,2020-03-27
covid-19 italy,11,covid-19,2020-03-27
covid-19 china,11,covid-19,2020-03-27
covid-19 usa,10,covid-19,2020-03-27
covid,100,covid19,2020-03-27
covid 19,89,covid19,2020-03-27
coronavirus covid19,66,covid19,2020-03-27
coronavirus,65,covid19,2020-03-27
covid19 cases,35,covid19,2020-03-27
corona,28,covid19,2020-03-27
corona covid19,27,covid19,2020-03-27
covid19 virus,26,covid19,2020-03-27
covid19 news,18,covid19,2020-03-27
covid19 update,16,covid19,2020-03-27
symptoms covid19,15,covid19,2020-03-27
covid19 symptoms,15,covid19,2020-03-27
covid19 map,15,covid19,2020-03-27
corona virus,14,covid19,2020-03-27
covid19 us,12,covid19,2020-03-27
what is covid19,12,covid19,2020-03-27
covid19 who,11,covid19,2020-03-27
who,11,covid19,2020-03-27
canada covid19,11,covid19,2020-03-27
italy covid19,11,covid19,2020-03-27
italy,10,covid19,2020-03-27
test covid19,10,covid19,2020-03-27
china covid19,10,covid19,2020-03-27
covid19 uk,9,covid19,2020-03-27
covid-19,9,covid19,2020-03-27
coronavirus,100,sars-cov-2,2020-03-27
coronavirus sars-cov-2,97,sars-cov-2,2020-03-27
covid-19,80,sars-cov-2,2020-03-27
covid-19 sars-cov-2,76,sars-cov-2,2020-03-27
sars,49,sars-cov-2,2020-03-27
virus sars-cov-2,43,sars-cov-2,2020-03-27
corona,34,sars-cov-2,2020-03-27
sars-cov-2 covid 19,32,sars-cov-2,2020-03-27
covid 19,30,sars-cov-2,2020-03-27
corona virus,17,sars-cov-2,2020-03-27
sars-cov-2 vs covid-19,15,sars-cov-2,2020-03-27
what is sars-cov-2,15,sars-cov-2,2020-03-27
sars cov 2,13,sars-cov-2,2020-03-27
sars-cov-2 wiki,8,sars-cov-2,2020-03-27
koronawirus,7,sars-cov-2,2020-03-27
cdc,6,sars-cov-2,2020-03-27
sars-cov,6,sars-cov-2,2020-03-27
sars-cov-1,6,sars-cov-2,2020-03-27
sars-cov-2 vs cod-19,4,sars-cov-2,2020-03-27
sars-cov-2 genome,3,sars-cov-2,2020-03-27
pubmed,3,sars-cov-2,2020-03-27
коронавирус,3,sars-cov-2,2020-03-27
sars-cov-2 or covid-19,3,sars-cov-2,2020-03-27
on the origin and continuing evolution of sars-cov-2,3,sars-cov-2,2020-03-27
the proximal origin of sars-cov-2,3,sars-cov-2,2020-03-27
coronavirus,100,covid-19 pandemic,2020-03-27
covid-19 coronavirus pandemic,97,covid-19 pandemic,2020-03-27
coronavirus pandemic,93,covid-19 pandemic,2020-03-27
who,41,covid-19 pandemic,2020-03-27
is covid-19 a pandemic,38,covid-19 pandemic,2020-03-27
who pandemic,37,covid-19 pandemic,2020-03-27
covid 19 pandemic,35,covid-19 pandemic,2020-03-27
pandemic meaning,20,covid-19 pandemic,2020-03-27
what is a pandemic,15,covid-19 pandemic,2020-03-27
pandemic vs epidemic,14,covid-19 pandemic,2020-03-27
cdc pandemic,14,covid-19 pandemic,2020-03-27
pandemic definition,13,covid-19 pandemic,2020-03-27
pandemic define,9,covid-19 pandemic,2020-03-27
covid-19 pandemic plan,8,covid-19 pandemic,2020-03-27
coronavirus pandemic covid-19 live world map/count,8,covid-19 pandemic,2020-03-27
who declared covid-19 pandemic,7,covid-19 pandemic,2020-03-27
covid-19 pandemic unemployment payment,7,covid-19 pandemic,2020-03-27
coronavirus update,5,covid-19 pandemic,2020-03-27
coronavirus update,100,coronavirus,2020-03-28
corona,97,coronavirus,2020-03-28
coronavirus symptoms,84,coronavirus,2020-03-28
news coronavirus,73,coronavirus,2020-03-28
coronavirus cases,70,coronavirus,2020-03-28
coronavirus uk,53,coronavirus,2020-03-28
corona virus,50,coronavirus,2020-03-28
coronavirus map,43,coronavirus,2020-03-28
china coronavirus,43,coronavirus,2020-03-28
el coronavirus,43,coronavirus,2020-03-28
