search_term,entityid,pageid,search_position,timestamp
coronavirus,Q82069695,81427064,0,2020-03-30T04:30:53Z
coronavirus,Q81068910,80438732,1,2020-03-30T04:30:53Z
coronavirus,Q57751738,57665961,2,2020-03-30T04:30:53Z
coronavirus,Q85438966,84727446,3,2020-03-30T04:30:53Z
coronavirus,Q84263196,83565290,4,2020-03-30T04:30:53Z
coronavirus,Q290805,281133,5,2020-03-30T04:30:53Z
coronavirus,Q4902157,4683197,6,2020-03-30T04:30:53Z
coronavirus,Q278567,269284,7,2020-03-30T04:30:53Z
coronavirus,Q1134583,1081411,8,2020-03-30T04:30:53Z
coronavirus,Q86717788,85963262,9,2020-03-30T04:30:53Z
coronavirus,Q83741704,83052932,10,2020-03-30T04:30:53Z
coronavirus,Q16983356,18587433,11,2020-03-30T04:30:53Z
coronavirus,Q83873577,83181964,12,2020-03-30T04:30:53Z
coronavirus,Q8351095,8310340,13,2020-03-30T04:30:53Z
coronavirus,Q16991954,18596328,14,2020-03-30T04:30:53Z
coronavirus,Q84055514,83360341,15,2020-03-30T04:30:53Z
coronavirus,Q83872291,83180713,16,2020-03-30T04:30:53Z
coronavirus,Q87250860,86486455,17,2020-03-30T04:30:53Z
coronavirus,Q86847911,86092058,18,2020-03-30T04:30:53Z
coronavirus,Q18975243,20532101,19,2020-03-30T04:30:53Z
coronavirus,Q83872271,83180693,20,2020-03-30T04:30:53Z
coronavirus,Q84497971,83797612,21,2020-03-30T04:30:53Z
coronavirus,Q83873593,83181978,22,2020-03-30T04:30:53Z
coronavirus,Q83889294,83197238,23,2020-03-30T04:30:53Z
coronavirus,Q84104992,83408431,24,2020-03-30T04:30:53Z
coronavirus,Q83761248,83072384,25,2020-03-30T04:30:53Z
coronavirus,Q87722485,86960649,26,2020-03-30T04:30:53Z
coronavirus,Q86628344,85875295,27,2020-03-30T04:30:53Z
coronavirus,Q88558997,87791428,28,2020-03-30T04:30:53Z
coronavirus,Q83864933,83173486,29,2020-03-30T04:30:53Z
coronavirus,Q87719499,86957644,30,2020-03-30T04:30:53Z
coronavirus,Q83189805,82525152,31,2020-03-30T04:30:53Z
coronavirus,Q24558699,26524771,32,2020-03-30T04:30:53Z
coronavirus,Q86458103,85707475,33,2020-03-30T04:30:53Z
coronavirus,Q34193942,35634067,34,2020-03-30T04:30:53Z
coronavirus,Q86886544,86130461,35,2020-03-30T04:30:53Z
coronavirus,Q5032409,4809085,36,2020-03-30T04:30:53Z
coronavirus,Q16983360,18587438,37,2020-03-30T04:30:53Z
coronavirus,Q88161067,87405506,38,2020-03-30T04:30:53Z
coronavirus,Q454829,429104,39,2020-03-30T04:30:53Z
coronavirus,Q85173778,84463852,40,2020-03-30T04:30:53Z
coronavirus,Q24604486,26570146,41,2020-03-30T04:30:53Z
coronavirus,Q87660365,86899925,42,2020-03-30T04:30:53Z
coronavirus,Q86597685,85844983,43,2020-03-30T04:30:53Z
coronavirus,Q88175330,87419470,44,2020-03-30T04:30:53Z
coronavirus,Q86521237,85769918,45,2020-03-30T04:30:53Z
coronavirus,Q86694873,85940486,46,2020-03-30T04:30:53Z
coronavirus,Q29615331,31261050,47,2020-03-30T04:30:53Z
coronavirus,Q88509703,87743157,48,2020-03-30T04:30:53Z
coronavirus,Q29618053,31263693,49,2020-03-30T04:30:53Z
coronavirus,Q84167106,83470327,50,2020-03-30T04:30:53Z
coronavirus,Q28200848,29898572,51,2020-03-30T04:30:53Z
coronavirus,Q88734777,87965183,52,2020-03-30T04:30:53Z
coronavirus,Q85876114,85146673,53,2020-03-30T04:30:53Z
coronavirus,Q87429464,86658557,54,2020-03-30T04:30:53Z
coronavirus,Q84166704,83469925,55,2020-03-30T04:30:53Z
coronavirus,Q85872065,85142665,56,2020-03-30T04:30:53Z
coronavirus,Q88177016,87421137,57,2020-03-30T04:30:53Z
coronavirus,Q24523202,26491202,58,2020-03-30T04:30:53Z
coronavirus,Q24549102,26516390,59,2020-03-30T04:30:53Z
coronavirus,Q18965335,20522232,60,2020-03-30T04:30:53Z
coronavirus,Q88176276,87420400,61,2020-03-30T04:30:53Z
coronavirus,Q29615906,31261618,62,2020-03-30T04:30:53Z
coronavirus,Q2132904,2058939,63,2020-03-30T04:30:53Z
coronavirus,Q88175141,87419281,64,2020-03-30T04:30:53Z
coronavirus,Q22103916,24134729,65,2020-03-30T04:30:53Z
coronavirus,Q88175947,87420079,66,2020-03-30T04:30:53Z
coronavirus,Q4950554,4731258,67,2020-03-30T04:30:53Z
coronavirus,Q34967815,36396055,68,2020-03-30T04:30:53Z
coronavirus,Q24808944,26771869,69,2020-03-30T04:30:53Z
coronavirus,Q18907882,20464878,70,2020-03-30T04:30:53Z
coronavirus,Q70920585,70583133,71,2020-03-30T04:30:53Z
coronavirus,Q84318312,83619880,72,2020-03-30T04:30:53Z
coronavirus,Q84055415,83360242,73,2020-03-30T04:30:53Z
coronavirus,Q2117529,2043835,74,2020-03-30T04:30:53Z
