access	agent	article	granularity	project	timestamp	views
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020030300	59219
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020030300	1326
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020030300	323
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020030300	2661
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020030300	5220
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020030300	139
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020030300	9579
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020030300	16717
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020030300	2865
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020030300	10826
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020030300	2495
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020030300	8684
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020030300	211
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020030300	7307
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020030300	3074
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020030300	35
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020030300	880
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020030300	956
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020030300	371
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020030300	14360
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020030300	33251
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020030300	727
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020030300	2761
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020030300	119
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020030300	8740
all-access	all-agents	Augustin_de_Romanet_de_Beaune	daily	en.wikipedia	2020030300	21
all-access	all-agents	Deborah_Birx	daily	en.wikipedia	2020030300	25
all-access	all-agents	Flybe	daily	en.wikipedia	2020030300	600
all-access	all-agents	Kanika_Kapoor	daily	en.wikipedia	2020030300	440
all-access	all-agents	Matthew_Pottinger	daily	en.wikipedia	2020030300	190
all-access	all-agents	Neil_Ferguson_(epidemiologist)	daily	en.wikipedia	2020030300	141
all-access	all-agents	Robert_Wilkie	daily	en.wikipedia	2020030300	355
all-access	all-agents	Sophie_Grégoire_Trudeau	daily	en.wikipedia	2020030300	612
all-access	all-agents	World_Dream	daily	en.wikipedia	2020030300	254
all-access	all-agents	Chen_Qiushi	daily	en.wikipedia	2020030300	1132
all-access	all-agents	Claire_Byrne	daily	en.wikipedia	2020030300	160
all-access	all-agents	Derek_Kan	daily	en.wikipedia	2020030300	24
all-access	all-agents	EvergreenHealth	daily	en.wikipedia	2020030300	1174
all-access	all-agents	Giuliana_De_Sio	daily	en.wikipedia	2020030300	30
all-access	all-agents	Index_case	daily	en.wikipedia	2020030300	1970
all-access	all-agents	Joel_Szabat	daily	en.wikipedia	2020030300	15
all-access	all-agents	Kelvin_Droegemeier	daily	en.wikipedia	2020030300	107
all-access	all-agents	Lumpinee_Boxing_Stadium	daily	en.wikipedia	2020030300	72
all-access	all-agents	Mirga_Gražinytė-Tyla	daily	en.wikipedia	2020030300	51
all-access	all-agents	Patrick_Vallance	daily	en.wikipedia	2020030300	2076
all-access	all-agents	Pete_Gaynor	daily	en.wikipedia	2020030300	56
all-access	all-agents	Richard_Wilkins_(TV_presenter)	daily	en.wikipedia	2020030300	146
all-access	all-agents	Ruby_Princess	daily	en.wikipedia	2020030300	96
all-access	all-agents	Shi_Zhengli	daily	en.wikipedia	2020030300	577
all-access	all-agents	Siobhán_Killeen	daily	en.wikipedia	2020030300	1
